symbol,side,setup,result,result_raw,pnl_pips,fibonacci_fib_1_0,fibonacci_fib_1_618,fibonacci_swing_high,fibonacci_swing_low,liquidity_vwap_dist,microstructure_body_size,microstructure_lower_wick,microstructure_upper_wick,momentum_rsi14,momentum_rsi9,momentum_sar,ohlcv_close,ohlcv_high,ohlcv_low,ohlcv_open,ohlcv_real_volume,ohlcv_tick_volume,regime_z_score,relative_distances_dist_ema9,relative_distances_dist_sma200,relative_distances_dist_sma21,relative_distances_dist_vwap,time_day_of_week,time_hour,time_minute,trend_adx,trend_ema9,trend_sma200,trend_sma21,volatility_atr,volatility_bollinger_bandwidth
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-6.65572649573005,10.5,55.5,9.5,35.35402249371623,32.98653776622315,25239.1712224,25199.45,25219.45,25143.95,25209.95,0.0,590.0,-2.1639626221537576,-0.0007199204449368472,-0.005541818096290045,-0.0010968920354143116,-0.0002640521533928899,4,4,30,20.53944431907252,25217.604669173674,25339.879,25227.12142857143,19.259311892809826,0.002130138043795187
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-12.387982321946765,17.0,49.0,9.5,33.270437424301306,30.47654143320962,25239.1712224,25192.95,25219.45,25143.95,25209.95,0.0,601.0,-2.5061359852509724,-0.0009261733422115682,-0.005797055637254903,-0.0013422982218183057,-0.0004914824919481428,4,4,30,20.53944431907252,25216.304669173674,25339.8465,25226.811904761907,19.259311892809826,0.0022505336590900576
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-13.652530895549717,18.5,47.5,9.5,32.82401905037399,29.950620950436758,25239.1712224,25191.45,25219.45,25143.95,25209.95,0.0,609.0,-2.5772329706372137,-0.0009737731847619909,-0.0058559567012244716,-0.001398931273891176,-0.0005416574234845866,4,4,30,20.53944431907252,25216.004669173675,25339.839,25226.74047619048,19.259311892809826,0.002280723949216391
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-12.685053981109377,17.5,48.5,9.5,33.12028817770232,30.299194337579365,25239.1712224,25192.45,25219.45,25143.95,25209.95,0.0,616.0,-2.5301517647503555,-0.0009420398305505045,-0.00581668932137059,-0.0013611758702083592,-0.0005032726051236053,4,4,30,20.53944431907252,25216.204669173676,25339.843999999997,25226.7880952381,19.259311892809826,0.002260502823089394
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-8.986418511070951,13.5,52.5,9.5,34.360850356736705,31.778585247945742,25239.1712224,25196.45,25219.45,25143.95,25209.95,0.0,628.0,-2.3289223560879035,-0.0008151114473481212,-0.005659619956918357,-0.0012101556808372812,-0.00035652699528230565,4,4,30,20.53944431907252,25217.004669173675,25339.863999999998,25226.978571428575,19.259311892809826,0.0021835079676573417
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-11.582623935904849,16.5,49.5,9.5,33.42195425969338,30.655976846470324,25239.1712224,25193.45,25219.45,25143.95,25209.95,0.0,637.0,-2.481799921054158,-0.0009103069797152217,-0.005777421957013146,-0.001323420609062354,-0.0004595361612389041,4,4,30,20.53944431907252,25216.404669173673,25339.849,25226.835714285717,19.259311892809826,0.0022406604416249066
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-15.96899418121393,21.5,44.5,9.5,31.96618293452711,28.95141681554766,25239.1712224,25188.45,25219.45,25143.95,25209.95,0.0,645.0,-2.711074841080579,-0.0010689762677743146,-0.005973758933763699,-0.0015121983401684242,-0.0006335791428043071,4,4,30,20.53944431907252,25215.404669173673,25339.824,25226.59761904762,19.259311892809826,0.002343560904778255
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-17.256384742951923,23.0,43.0,9.5,31.553862270675694,28.476405920290745,25239.1712224,25186.95,25219.45,25143.95,25209.95,0.0,650.0,-2.7739785787070583,-0.001116579508317214,-0.00603266010233342,-0.0015688323543783947,-0.0006846628883898465,4,4,30,20.53944431907252,25215.104669173674,25339.8165,25226.526190476194,19.259311892809826,0.0023761426548758683
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-16.708085808586475,22.5,43.5,9.5,31.690115526165926,28.63300145343213,25239.1712224,25187.45,25219.45,25143.95,25209.95,0.0,660.0,-2.75330006221941,-0.0011007116356111161,-0.006013026375602713,-0.0015499543140065598,-0.0006629098957284395,4,4,30,20.53944431907252,25215.204669173676,25339.819,25226.550000000003,19.259311892809826,0.00236519902249507
HK50,SELL,9.2,0,loss,-75.51,25030.940000000002,24961.106000000003,25256.95,25143.95,-18.356041974097025,24.5,41.5,9.5,31.15204291546702,28.016730583452954,25239.1712224,25185.45,25219.45,25143.95,25209.95,0.0,673.0,-2.8343156952035025,-0.0011641838816051297,-0.006091561305769777,-0.0016254666893060366,-0.0007283043657583741,4,4,30,20.53944431907252,25214.804669173674,25339.808999999997,25226.454761904763,19.259311892809826,0.0024094582503408103
